id,carat,cut,color,clarity,depth,table,x,y,z,price
5008,0.3,Ideal,E,SI1,61.9,57.0,4.29,4.33,2.67,626.53
5009,0.9,Ideal,E,SI2,62.6,56.0,6.15,6.06,3.82,807.09
5010,0.9,Premium,G,SI2,62.8,61.0,6.14,6.09,3.84,812.71
5011,1.14,Ideal,H,SI1,62.3,56.0,6.69,6.77,4.19,859.08
5012,0.7,Ideal,F,SI1,61.7,58.0,5.67,5.7,3.51,788.68
5013,1.0,Good,G,SI1,62.5,65.0,6.24,6.31,3.92,841.8
5014,0.7,Very Good,I,VVS1,58.8,61.0,5.78,5.82,3.41,777.86
5015,0.88,Good,I,SI1,60.2,64.0,6.18,6.22,3.73,784.7
5016,1.25,Ideal,J,VVS2,61.1,57.0,6.91,6.94,4.23,869.53
5017,1.52,Premium,H,VS2,61.1,59.0,7.45,7.38,4.53,931.16
5018,1.0,Ideal,E,SI2,61.8,57.0,6.39,6.43,3.96,846.44
5019,0.66,Very Good,E,SI2,61.3,57.2,5.59,5.66,3.45,747.82
5020,0.4,Premium,D,SI2,63.0,59.0,4.69,4.64,2.94,668.21
5021,1.01,Very Good,I,SI1,63.5,53.0,6.32,6.4,4.04,847.51
5022,0.74,Premium,E,VS1,62.7,58.0,5.83,5.74,3.63,800.6
5023,0.97,Very Good,G,SI1,61.0,59.0,6.36,6.4,3.89,841.27
5024,0.7,Ideal,H,VVS1,62.3,58.0,5.66,5.7,3.54,796.07
5025,0.3,Ideal,D,VS1,61.0,58.0,4.3,4.36,2.64,639.86
5026,0.6,Ideal,E,SI1,60.6,57.0,5.43,5.47,3.3,738.59
5027,0.72,Ideal,F,SI2,61.7,55.0,5.77,5.81,3.57,775.79
5028,0.32,Very Good,E,VS1,64.0,56.0,4.33,4.36,2.78,644.57
5029,1.7,Premium,D,SI2,63.0,59.0,7.67,7.6,4.81,931.81
5030,0.3,Very Good,G,IF,62.8,57.0,4.27,4.3,2.69,679.68
5031,0.38,Premium,E,VS2,62.2,59.0,4.63,4.67,2.89,676.39
5032,1.03,Premium,E,VS1,59.6,59.0,6.59,6.57,3.92,896.41
5033,0.36,Very Good,D,VS1,62.8,55.0,4.52,4.55,2.85,667.58
5034,0.26,Ideal,H,VVS2,62.5,54.0,4.11,4.14,2.58,623.05
5035,0.39,Fair,E,SI1,65.6,60.0,4.5,4.56,2.97,639.86
5036,0.58,Ideal,H,SI1,61.9,59.0,5.33,5.36,3.31,723.63
5037,0.55,Ideal,F,VS1,61.4,55.0,5.24,5.28,3.23,749.83
5038,1.52,Premium,G,VS1,61.2,60.0,7.4,7.37,4.52,957.66
5039,2.06,Ideal,I,VS2,62.2,55.0,8.15,8.19,5.08,984.05
5040,0.7,Very Good,E,SI2,59.8,58.0,5.74,5.76,3.44,775.58
5041,0.44,Premium,H,VS2,61.3,58.0,4.88,4.91,3.0,669.7
5042,0.59,Ideal,D,SI1,61.6,57.0,5.41,5.44,3.34,746.34
5043,0.3,Premium,F,VVS1,61.8,59.0,4.26,4.29,2.64,676.62
5044,0.4,Very Good,E,SI2,58.7,57.0,4.88,4.94,2.88,641.51
5045,1.06,Very Good,F,SI2,61.8,56.4,6.51,6.56,4.04,856.75
5046,1.5,Ideal,F,VS2,61.4,55.0,7.35,7.44,4.54,956.4
5047,1.01,Very Good,G,VVS2,63.0,59.0,6.25,6.38,3.98,888.65
5048,2.0,Good,G,SI1,59.1,61.0,8.14,8.18,4.82,979.42
5049,1.29,Premium,H,VS2,62.4,57.0,6.98,6.92,4.34,885.18
5050,0.81,Ideal,J,VS2,62.1,56.0,5.92,5.97,3.69,790.4
5051,0.3,Premium,E,SI1,62.4,58.0,4.28,4.24,2.66,651.47
5052,0.39,Good,I,VS2,62.3,61.0,4.6,4.61,2.87,647.39
5053,0.24,Very Good,G,VS1,61.2,56.0,4.0,4.03,2.46,596.87
5054,0.34,Premium,E,SI2,61.7,58.0,4.5,4.54,2.79,616.75
5055,0.91,Very Good,E,SI1,61.9,61.0,6.1,6.12,3.78,834.55
5056,1.05,Good,H,SI2,63.9,56.0,6.44,6.37,4.09,824.85
5057,0.9,Premium,G,VS2,61.3,59.0,6.21,6.15,3.79,834.14
5058,1.03,Premium,D,SI2,61.8,60.0,6.45,6.42,3.98,842.51
5059,0.53,Ideal,D,VVS1,61.6,55.0,5.21,5.27,3.23,803.82
5060,0.5,Very Good,G,VVS2,62.1,61.0,5.07,5.1,3.16,744.72
5061,0.4,Very Good,E,SI2,58.7,59.0,4.78,4.82,2.82,643.29
5062,1.23,Ideal,H,VVS1,61.4,56.0,6.89,6.91,4.24,909.61
5063,0.76,Ideal,J,VS1,61.9,54.0,5.88,5.84,3.63,774.37
5064,1.13,Premium,G,VVS1,59.3,59.0,6.87,6.79,4.05,909.02
5065,0.41,Premium,D,SI1,61.0,59.0,4.78,4.76,2.91,692.26
5066,1.15,Premium,G,SI2,62.5,55.0,6.72,6.68,4.19,848.9
5067,0.73,Very Good,G,VVS2,61.4,58.0,5.83,5.86,3.59,809.8
5068,1.27,Ideal,J,SI2,61.2,56.0,6.99,6.95,4.27,852.14
5069,0.52,Ideal,G,VS1,61.4,56.0,5.18,5.21,3.19,745.12
5070,0.6,Very Good,I,VS2,60.6,60.0,5.46,5.49,3.32,724.57
5071,0.71,Ideal,I,VS2,62.1,57.0,5.72,5.64,3.53,772.75
5072,0.7,Ideal,E,SI1,62.3,57.0,5.67,5.7,3.54,780.75
5073,1.7,Ideal,H,VVS1,61.4,57.0,7.63,7.69,4.7,958.9
5074,0.98,Premium,H,VS2,59.9,60.0,6.45,6.38,3.84,843.88
5075,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,720.27
5076,0.58,Very Good,F,VS2,60.7,63.0,5.39,5.36,3.26,755.7
5077,0.47,Very Good,G,VVS1,60.6,55.0,5.05,5.09,3.07,748.44
5078,1.18,Premium,D,SI2,61.8,58.0,6.83,6.7,4.19,834.55
5079,0.41,Good,E,VVS1,64.1,55.0,4.71,4.68,3.01,716.86
5080,0.73,Ideal,E,SI2,61.2,54.0,5.88,5.86,3.59,785.59
5081,1.01,Premium,G,VS2,61.2,58.0,6.49,6.46,3.96,867.66
5082,0.59,Very Good,F,VS2,61.8,58.0,5.35,5.4,3.32,745.18
5083,0.9,Ideal,H,VS2,62.7,57.0,6.13,6.15,3.85,831.19
5084,0.76,Ideal,D,SI2,62.2,57.0,5.83,5.85,3.63,789.43
5085,0.43,Ideal,H,SI1,61.6,55.0,4.87,4.9,3.01,657.37
5086,0.26,Very Good,E,VVS1,62.6,59.0,4.06,4.09,2.55,631.72
5087,0.33,Premium,G,VVS2,61.2,57.0,4.44,4.42,2.71,687.21
5088,0.9,Good,D,SI1,63.2,55.0,6.1,6.14,3.87,838.5
5089,0.42,Premium,E,SI1,60.0,58.0,4.85,4.89,2.92,658.2
5090,1.52,Very Good,D,SI2,63.2,58.0,7.31,7.25,4.6,910.83
5091,1.02,Ideal,D,VVS2,61.0,56.0,6.52,6.55,3.99,937.29
5092,0.36,Ideal,E,SI1,61.6,56.0,4.56,4.59,2.82,644.73
5093,1.33,Good,I,VS1,63.7,56.0,6.92,6.96,4.42,884.84
5094,1.16,Ideal,G,SI2,61.6,55.0,6.74,6.77,4.16,864.73
5095,1.04,Good,F,VS1,63.2,57.0,6.41,6.44,4.06,890.91
5096,1.35,Premium,G,SI2,60.5,60.0,7.16,7.11,4.32,855.0
5097,0.56,Ideal,F,VS2,62.6,55.0,5.25,5.29,3.3,745.18
5098,0.27,Ideal,E,VVS2,62.1,57.0,4.13,4.15,2.57,643.29
5099,0.74,Very Good,I,VVS2,61.0,59.0,5.83,5.85,3.56,784.38
5100,1.22,Premium,G,VS1,61.6,60.0,6.85,6.88,4.23,896.83
5101,2.02,Ideal,I,SI2,62.3,55.0,8.1,8.06,5.03,926.64
5102,1.0,Good,H,SI2,62.0,64.0,6.43,6.29,3.94,806.84
5103,0.4,Very Good,G,SI1,60.0,63.0,4.76,4.8,2.87,655.39
5104,1.08,Premium,F,VS2,62.8,59.0,6.55,6.47,4.09,886.49
5105,0.71,Ideal,G,VS2,61.6,55.0,5.74,5.78,3.55,783.87
5106,0.52,Very Good,G,VVS2,62.0,57.0,5.15,5.19,3.2,749.22
5107,1.2,Very Good,I,SI1,63.1,61.0,6.65,6.58,4.18,836.66
5108,0.31,Good,I,VS1,63.9,55.0,4.3,4.28,2.74,637.33
5109,0.4,Fair,D,SI1,65.1,55.0,4.63,4.68,3.03,646.77
5110,0.72,Very Good,E,SI2,59.8,58.0,5.84,5.86,3.5,776.0
5111,0.55,Ideal,F,SI1,62.4,55.0,5.23,5.28,3.28,725.13
5112,0.35,Ideal,H,VVS2,62.5,57.0,4.48,4.54,2.82,655.96
5113,0.39,Premium,D,VS2,61.4,60.0,4.72,4.7,2.89,693.15
5114,1.21,Premium,H,VS1,61.2,60.0,6.77,6.86,4.17,870.88
5115,0.31,Ideal,E,VS2,62.0,55.0,4.37,4.34,2.7,677.08
5116,0.75,Premium,G,SI2,62.7,58.0,5.82,5.76,3.63,772.67
5117,0.72,Premium,G,VS1,62.3,61.0,5.73,5.66,3.55,788.08
5118,0.3,Ideal,F,VS1,62.0,55.0,4.34,4.3,2.68,673.82
5119,2.12,Ideal,H,SI2,61.4,57.0,8.28,8.24,5.07,941.61
5120,0.5,Premium,E,SI1,62.0,59.0,5.1,5.06,3.15,725.49
5121,0.32,Ideal,F,VVS1,62.1,54.0,4.41,4.42,2.74,681.56
5122,1.2,Ideal,E,SI2,61.3,56.0,6.85,6.88,4.21,870.05
5123,0.53,Ideal,G,VVS2,62.5,54.0,5.19,5.21,3.25,750.55
5124,0.43,Premium,G,VS2,61.1,59.0,4.83,4.86,2.96,676.5
5125,0.51,Premium,E,SI1,62.3,58.0,5.12,5.05,3.17,734.34
5126,0.28,Very Good,H,VVS1,59.9,62.0,4.23,4.28,2.55,622.26
5127,0.51,Ideal,E,SI1,61.5,57.0,5.11,5.16,3.16,742.77
5128,0.34,Ideal,D,VS2,60.6,57.0,4.51,4.53,2.74,669.08
5129,0.43,Premium,D,VVS1,59.6,58.0,4.89,4.94,2.93,736.77
5130,0.81,Fair,F,SI2,65.7,57.0,5.8,5.75,3.79,761.63
5131,1.01,Premium,H,I1,58.4,60.0,6.53,6.48,3.8,769.89
5132,1.16,Ideal,I,VS2,60.1,62.0,6.83,6.78,4.09,862.82
5133,1.3,Very Good,J,VS1,63.2,57.0,6.91,6.86,4.35,851.6
5134,0.4,Ideal,E,VS1,62.4,54.0,4.73,4.75,2.96,685.75
5135,0.3,Ideal,I,VVS1,61.8,54.0,4.32,4.35,2.68,629.16
5136,0.71,Very Good,G,VS1,63.5,56.0,5.67,5.63,3.59,776.98
5137,1.07,Very Good,G,VS2,63.0,55.0,6.5,6.55,4.11,875.7
5138,1.3,Very Good,H,VS1,61.9,56.0,6.97,7.05,4.34,895.51
5139,1.0,Premium,H,I1,60.4,61.0,6.39,6.32,3.84,756.63
5140,0.41,Good,F,SI1,63.1,56.0,4.69,4.73,2.97,652.94
5141,0.75,Very Good,E,SI2,60.9,59.0,5.83,5.9,3.57,777.61
5142,0.3,Ideal,E,VS2,62.3,56.0,4.27,4.3,2.67,640.19
5143,1.56,Premium,F,SI2,58.8,59.0,7.76,7.61,4.52,898.09
5144,0.3,Ideal,D,VS2,62.4,55.0,4.32,4.3,2.69,667.2
5145,0.3,Ideal,E,VVS1,62.5,54.0,4.29,4.32,2.69,663.73
5146,1.12,Premium,H,SI2,61.0,59.0,6.72,6.66,4.08,831.31
5147,1.52,Premium,D,SI2,59.8,60.0,7.42,7.5,4.46,925.27
5148,0.63,Ideal,D,VS2,61.1,55.0,5.6,5.56,3.41,765.25
5149,0.27,Very Good,F,VS1,62.4,55.0,4.12,4.15,2.58,606.15
5150,1.5,Very Good,F,VS2,61.3,58.0,7.24,7.29,4.45,943.56
5151,0.7,Ideal,G,VVS1,62.8,57.0,5.63,5.68,3.55,805.99
5152,0.3,Ideal,G,IF,61.5,56.0,4.32,4.36,2.67,676.04
5153,0.6,Premium,H,SI1,60.1,61.0,5.43,5.39,3.25,710.58
5154,0.31,Premium,G,VS2,62.2,59.0,4.35,4.3,2.69,654.82
5155,1.28,Premium,I,SI1,59.4,61.0,7.11,7.04,4.2,827.94
5156,0.25,Very Good,F,VVS2,59.3,59.0,4.15,4.18,2.47,630.63
5157,0.4,Good,E,SI1,63.7,57.0,4.69,4.66,2.98,678.22
5158,1.51,Good,F,VVS2,63.7,58.0,7.18,7.24,4.59,959.25
5159,0.35,Very Good,D,SI1,60.2,57.0,4.56,4.61,2.76,646.77
5160,0.7,Ideal,F,VS1,61.7,55.0,5.72,5.76,3.54,805.64
5161,1.01,Premium,H,SI1,61.2,58.0,6.47,6.43,3.95,844.29
5162,0.77,Ideal,F,SI1,61.5,56.0,5.89,5.95,3.64,804.17
5163,0.79,Ideal,F,SI1,62.5,57.0,5.88,5.92,3.69,799.83
5164,1.64,Premium,I,SI2,61.3,58.0,7.62,7.58,4.66,907.6
5165,1.04,Ideal,G,VS2,59.4,58.0,6.63,6.67,3.95,874.61
5166,0.54,Ideal,E,SI1,60.6,58.0,5.27,5.29,3.2,727.24
5167,0.7,Premium,J,SI1,61.6,58.0,5.66,5.73,3.51,741.82
5168,0.72,Ideal,H,VS2,62.3,52.0,5.76,5.82,3.61,784.31
5169,0.3,Ideal,D,VS2,62.3,56.0,4.27,4.3,2.67,656.53
5170,0.31,Premium,H,VVS2,62.3,60.0,4.36,4.31,2.7,668.71
5171,0.42,Ideal,E,VS2,62.0,55.0,4.8,4.82,2.98,686.48
5172,0.38,Very Good,G,VS1,62.0,57.0,4.65,4.68,2.89,663.86
5173,1.23,Ideal,F,VVS2,61.8,56.0,6.89,6.84,4.24,931.84
5174,0.4,Ideal,D,VVS2,61.3,56.0,4.75,4.78,2.92,714.12
5175,1.03,Ideal,H,VS1,61.5,57.0,6.49,6.45,3.98,849.17
5176,0.41,Premium,D,SI2,62.3,58.0,4.77,4.74,2.96,677.54
5177,2.18,Very Good,I,SI2,63.3,58.0,8.22,8.18,5.19,941.08
5178,1.58,Ideal,H,SI1,62.5,57.0,7.43,7.39,4.63,924.43
5179,0.52,Good,G,VS2,63.3,57.0,5.09,5.11,3.23,720.71
5180,0.5,Good,E,SI2,63.3,56.0,5.05,5.09,3.21,698.19
5181,0.31,Ideal,E,VS2,61.7,55.0,4.39,4.36,2.7,677.08
5182,0.72,Ideal,E,VVS1,61.4,57.0,5.74,5.79,3.54,848.96
5183,0.77,Very Good,G,SI1,58.4,63.0,5.95,6.03,3.5,787.66
5184,1.11,Premium,I,SI2,61.8,58.0,6.66,6.61,4.1,834.19
5185,0.58,Ideal,G,VS2,61.9,55.0,5.33,5.36,3.31,747.36
5186,0.27,Ideal,E,VS1,61.4,57.0,4.17,4.23,2.58,655.68
5187,0.55,Ideal,F,VS2,61.1,57.0,5.27,5.3,3.23,743.37
5188,0.66,Very Good,E,VS2,63.3,56.3,5.47,5.55,3.48,780.1
5189,0.24,Very Good,D,VVS1,61.9,54.0,3.99,4.02,2.48,619.85
5190,0.4,Ideal,F,VS1,61.3,57.0,4.74,4.78,2.92,682.11
5191,0.9,Good,F,SI1,62.8,64.0,6.18,5.99,3.82,820.49
5192,0.5,Premium,D,SI1,62.2,57.0,5.11,5.08,3.17,741.1
5193,0.25,Very Good,E,VVS2,60.2,59.0,4.07,4.14,2.47,635.44
5194,0.72,Premium,D,SI1,62.6,59.0,5.74,5.7,3.58,791.28
5195,0.71,Ideal,H,VVS2,61.5,54.0,5.74,5.8,3.55,786.1
5196,1.01,Very Good,D,SI1,61.6,59.0,6.42,6.47,3.97,866.82
5197,0.71,Ideal,E,SI1,61.7,56.0,5.72,5.69,3.52,790.25
5198,0.24,Very Good,E,VVS2,60.9,58.0,4.03,4.05,2.46,631.35
5199,0.36,Premium,F,VS2,62.0,59.0,4.56,4.51,2.81,669.33
5200,0.9,Good,G,I1,63.6,61.0,6.03,6.07,3.85,770.8
5201,0.7,Ideal,I,VS2,62.5,56.0,5.66,5.7,3.55,771.07
5202,1.32,Premium,G,SI2,58.9,59.0,7.25,7.18,4.25,841.72
5203,1.75,Good,D,SI1,63.8,57.0,7.63,7.53,4.84,946.64
5204,0.31,Premium,F,IF,60.8,59.0,4.39,4.36,2.66,702.29
5205,0.76,Premium,J,VS1,61.1,58.0,5.91,5.85,3.59,772.4
5206,0.72,Premium,D,SI1,62.7,59.0,5.73,5.69,3.58,793.09
5207,1.51,Very Good,F,VS1,60.0,60.0,7.39,7.42,4.44,970.52
5208,1.03,Premium,G,VS2,62.3,59.0,6.42,6.38,3.99,875.26
5209,0.65,Premium,E,SI2,61.4,59.0,5.57,5.52,3.41,740.25
5210,0.4,Ideal,G,IF,61.1,58.0,4.72,4.74,2.89,711.4
5211,1.23,Ideal,H,VVS2,62.0,55.0,6.85,6.9,4.26,899.7
5212,0.54,Very Good,I,IF,58.8,61.0,5.29,5.35,3.13,744.31
5213,0.75,Ideal,F,SI1,61.8,56.0,5.84,5.87,3.62,811.25
5214,0.74,Ideal,I,VS1,60.7,55.0,5.84,5.88,3.56,786.67
5215,0.4,Very Good,H,VVS2,63.2,55.0,4.73,4.7,2.98,702.55
5216,0.72,Ideal,G,SI1,61.4,56.0,5.75,5.78,3.54,789.58
5217,0.33,Premium,D,SI1,60.3,58.0,4.49,4.47,2.7,665.93
5218,0.3,Very Good,G,VVS2,61.3,58.0,4.28,4.34,2.64,652.8
5219,0.44,Good,E,SI1,63.2,53.0,4.84,4.87,3.07,662.8
5220,2.0,Ideal,H,SI1,61.8,57.0,8.05,8.01,4.96,944.57
5221,0.31,Ideal,D,VS2,62.2,57.0,4.34,4.31,2.69,684.8
5222,0.97,Premium,D,SI1,62.0,60.0,6.29,6.25,3.89,844.23
5223,0.31,Ideal,D,VS2,61.6,55.0,4.37,4.36,2.69,684.8
5224,0.41,Ideal,J,VS1,62.2,55.0,4.76,4.79,2.97,640.36
5225,1.41,Ideal,H,SI2,62.0,56.0,7.17,7.24,4.47,899.09
5226,1.29,Ideal,H,SI2,61.6,54.0,7.0,7.02,4.32,874.83
5227,1.01,Premium,E,VVS1,61.6,58.0,6.57,6.45,4.01,929.54
5228,0.3,Ideal,H,VVS2,62.1,54.0,4.32,4.35,2.69,638.01
5229,0.51,Ideal,D,SI1,61.6,56.0,5.1,5.12,3.15,735.82
5230,0.58,Ideal,F,VS1,62.1,56.0,5.38,5.32,3.32,764.4
5231,0.31,Premium,E,VS1,61.0,58.0,4.39,4.37,2.67,684.8
5232,1.01,Good,F,SI1,64.2,58.0,6.31,6.33,4.06,834.26
5233,1.1,Ideal,I,VS1,61.7,57.0,6.65,6.62,4.09,862.05
5234,1.02,Ideal,E,IF,62.6,57.0,6.41,6.47,4.03,935.01
5235,0.5,Premium,E,VS2,61.3,56.0,5.16,5.11,3.15,739.57
5236,1.0,Premium,D,SI1,62.3,60.0,6.23,6.19,3.87,840.49
5237,0.7,Good,E,SI1,63.2,57.0,5.61,5.63,3.55,782.24
5238,0.75,Ideal,G,SI2,62.5,55.0,5.82,5.77,3.62,777.4
5239,0.3,Good,E,VS2,64.2,57.0,4.24,4.13,2.69,642.81
5240,1.0,Very Good,G,SI1,63.3,60.0,6.33,6.24,3.98,843.94
5241,0.54,Very Good,G,SI1,60.3,57.0,5.24,5.4,3.21,716.39
5242,0.52,Premium,D,VVS2,59.8,60.0,5.28,5.22,3.14,781.08
5243,0.6,Ideal,F,SI1,61.5,58.0,5.38,5.41,3.32,740.61
5244,1.01,Premium,J,VS2,62.4,60.0,6.45,6.35,3.99,806.78
5245,0.71,Ideal,G,SI1,62.2,56.0,5.75,5.69,3.56,777.74
5246,0.42,Ideal,D,VVS2,61.7,55.0,4.79,4.83,2.97,707.75
5247,1.03,Premium,J,SI1,61.7,54.0,6.56,6.5,4.03,833.16
5248,0.26,Very Good,E,SI1,62.0,54.0,4.08,4.11,2.54,595.06
5249,1.3,Ideal,G,VVS2,62.0,57.0,6.96,7.03,4.34,931.23
5250,0.34,Very Good,F,VS2,62.9,55.0,4.46,4.48,2.81,653.09
5251,0.9,Very Good,F,SI1,63.3,55.0,6.18,6.12,3.89,842.18
5252,1.21,Premium,H,SI2,62.7,59.0,6.75,6.78,4.24,858.0
5253,0.53,Ideal,F,VVS2,62.7,56.0,5.16,6.2,3.25,761.58
5254,0.33,Good,D,SI2,63.3,53.0,4.39,4.42,2.79,619.85
5255,1.0,Good,F,SI2,59.4,64.0,6.36,6.29,3.76,825.79
5256,1.17,Ideal,I,VS1,62.2,53.0,6.78,6.81,4.23,870.17
5257,0.32,Ideal,H,SI2,60.9,56.0,4.41,4.45,2.7,607.3
5258,0.9,Very Good,I,VS2,62.5,57.0,6.12,6.2,3.85,807.37
5259,1.5,Very Good,E,SI2,63.3,57.0,7.28,7.23,4.59,895.26
5260,1.52,Ideal,H,VVS2,61.8,58.0,7.41,7.35,4.56,940.29
5261,1.53,Very Good,G,SI2,61.1,58.0,7.38,7.41,4.52,899.9
5262,0.5,Good,G,SI2,63.8,57.0,4.98,5.02,3.19,691.67
5263,0.31,Ideal,D,VS2,60.7,56.0,4.38,4.35,2.65,684.8
5264,0.55,Ideal,F,VS2,61.7,56.0,5.3,5.26,3.26,750.6
5265,0.41,Premium,J,VS2,61.9,59.0,4.74,4.69,2.92,666.44
5266,0.31,Premium,G,VS2,61.5,59.0,4.33,4.35,2.67,629.89
5267,1.15,Very Good,F,SI2,63.1,63.0,6.67,6.57,4.18,850.0
5268,1.01,Very Good,F,SI1,62.8,58.0,6.35,6.43,4.01,846.78
5269,1.11,Ideal,H,VVS2,61.4,57.0,6.67,6.63,4.08,884.82
5270,1.03,Fair,I,SI2,65.2,56.0,6.42,6.35,4.16,816.91
5271,0.9,Ideal,H,VS2,59.9,57.0,6.27,6.31,3.77,843.03
5272,2.05,Ideal,H,SI2,60.4,58.0,8.21,8.27,4.98,967.14
5273,0.25,Very Good,D,VVS2,61.3,59.0,4.07,4.12,2.51,635.44
5274,0.7,Very Good,E,SI2,59.6,63.0,5.76,5.71,3.42,774.5
5275,0.7,Very Good,F,VS1,62.2,58.0,5.64,5.75,3.54,796.87
5276,0.5,Ideal,D,VS2,61.7,53.0,5.14,5.16,3.18,742.54
5277,0.73,Very Good,G,SI1,59.8,61.0,5.83,5.85,3.49,775.36
5278,0.4,Very Good,H,VVS1,60.5,59.0,4.73,4.76,2.87,680.24
5279,0.37,Ideal,J,VS1,62.4,55.0,4.64,4.59,2.88,643.62
5280,0.55,Ideal,G,SI1,61.3,56.0,5.26,5.31,3.24,738.09
5281,1.5,Ideal,H,VS1,62.1,57.0,7.37,7.23,4.53,909.28
5282,0.4,Ideal,D,VS2,61.3,56.0,4.74,4.79,2.92,688.96
5283,1.01,Premium,F,SI2,61.9,58.0,6.39,6.34,3.94,845.02
5284,1.2,Premium,J,VS1,59.1,61.0,7.0,6.94,4.12,853.84
5285,1.0,Very Good,E,SI2,61.4,61.0,6.36,6.41,3.92,843.81
5286,1.34,Very Good,F,VS1,59.7,60.0,7.17,7.2,4.29,928.46
5287,0.5,Ideal,F,VS2,62.0,56.0,5.07,5.11,3.15,736.58
5288,0.24,Very Good,E,VVS1,61.5,59.0,3.99,4.01,2.46,618.41
5289,0.26,Very Good,E,VVS2,62.9,56.0,4.07,4.1,2.57,642.0
5290,2.02,Good,I,VS1,65.5,57.0,7.88,7.96,5.19,966.55
5291,1.01,Very Good,F,SI1,61.3,59.0,6.44,6.47,3.96,851.1
5292,1.01,Good,G,VVS2,63.4,55.0,6.34,6.41,4.04,883.1
5293,1.09,Ideal,G,SI1,62.2,56.0,6.6,6.55,4.09,852.16
5294,0.32,Ideal,D,VS2,61.9,55.0,4.44,4.41,2.74,687.94
5295,0.8,Ideal,F,VS2,62.1,56.0,5.93,5.98,3.7,830.47
5296,0.33,Premium,G,VVS1,61.4,60.0,4.44,4.39,2.71,701.57
5297,1.7,Very Good,H,VVS2,63.2,56.0,7.59,7.56,4.79,931.77
5298,0.53,Premium,G,SI1,61.3,58.0,5.21,5.16,3.18,721.74
5299,1.5,Good,G,SI1,64.2,58.0,7.14,7.2,4.6,925.22
5300,0.59,Ideal,G,VS2,61.9,56.0,5.38,5.42,3.34,762.9
5301,0.53,Ideal,H,SI1,62.6,56.0,5.28,5.1,3.25,698.19
5302,0.31,Ideal,H,VS2,62.4,55.0,4.36,4.33,2.71,644.25
5303,0.85,Very Good,E,VS2,60.2,60.0,6.09,6.14,3.68,826.13
5304,1.21,Premium,H,SI1,60.5,60.0,6.81,6.72,4.09,846.44
5305,1.0,Very Good,F,SI2,62.2,55.0,6.39,6.44,3.99,838.55
5306,0.33,Ideal,H,VVS2,61.9,55.0,4.45,4.47,2.76,650.13
5307,0.51,Ideal,F,VS1,61.8,54.0,5.15,5.18,3.19,739.76
5308,1.57,Premium,G,SI1,59.5,58.0,7.61,7.56,4.51,931.59
5309,0.9,Fair,E,SI1,65.0,61.0,6.05,6.02,3.92,811.13
5310,0.72,Premium,G,VVS2,61.6,58.0,5.78,5.81,3.57,790.84
5311,0.91,Very Good,D,SI2,62.0,62.0,6.16,6.25,3.85,814.99
5312,1.52,Very Good,D,VS2,61.9,56.0,7.31,7.35,4.54,959.55
5313,1.07,Premium,H,SI1,62.1,58.0,6.56,6.49,4.05,852.81
5314,1.15,Very Good,G,VVS2,58.4,59.0,6.84,6.92,4.02,902.99
5315,0.52,Ideal,G,VVS2,61.6,55.0,5.14,5.18,3.19,757.92
5316,1.72,Premium,H,SI1,62.0,57.0,7.67,7.63,4.74,916.44
5317,1.5,Very Good,D,VS2,62.4,57.0,7.2,7.25,4.51,974.99
5318,0.93,Fair,H,SI1,64.6,58.0,6.13,6.07,3.94,822.95
5319,0.41,Very Good,E,SI1,61.1,62.0,4.76,4.83,2.93,655.82
5320,1.01,Very Good,F,VS2,63.2,59.0,6.3,6.36,4.0,878.57
5321,0.3,Premium,G,VVS1,62.6,62.0,4.26,4.21,2.65,685.12
5322,0.4,Very Good,F,VS1,62.2,57.6,4.74,4.76,2.96,699.3
5323,0.43,Very Good,I,VVS2,62.8,58.0,4.8,4.82,3.02,674.52
5324,1.5,Premium,H,I1,62.9,60.0,7.31,7.22,4.57,829.95
5325,0.36,Good,I,VS1,63.3,56.0,4.51,4.56,2.87,634.21
5326,0.41,Ideal,E,SI1,62.4,55.0,4.78,4.74,2.97,687.63
5327,0.33,Premium,G,VS2,60.8,58.0,4.47,4.45,2.71,661.07
5328,0.37,Very Good,E,VS1,63.5,59.0,4.55,4.59,2.9,666.44
5329,0.79,Very Good,G,SI1,60.9,63.0,5.89,5.84,3.57,778.07
5330,1.05,Premium,F,SI2,61.1,59.0,6.54,6.61,4.02,820.85
5331,0.7,Ideal,G,SI1,60.9,57.0,5.79,5.77,3.52,778.95
5332,0.41,Very Good,D,VS1,63.4,56.0,4.7,4.76,3.0,689.87
5333,0.56,Ideal,G,VVS2,60.7,56.0,5.33,5.32,3.23,768.11
5334,1.51,Premium,G,SI1,60.6,60.0,7.45,7.41,4.5,923.67
5335,0.73,Premium,I,VVS2,60.6,58.0,5.78,5.84,3.52,782.24
5336,1.03,Very Good,H,SI2,61.3,56.0,6.5,6.53,3.99,846.48
5337,1.21,Ideal,F,VS2,62.6,55.0,6.8,6.75,4.24,896.52
5338,0.59,Very Good,F,IF,59.9,63.0,5.44,5.47,3.27,787.55
5339,1.01,Very Good,E,SI1,61.9,56.0,6.33,6.41,3.94,865.85
5340,0.83,Very Good,E,SI1,62.1,58.0,6.01,6.04,3.74,800.7
5341,0.43,Ideal,G,VVS2,60.1,57.0,4.91,4.88,2.94,702.91
